actual,predicted,N
1,1,1500
2,1,1500
3,1,1500
4,1,1500
1,2,0
2,2,0
3,2,0
4,2,0
1,3,0
2,3,0
3,3,0
4,3,0
1,4,0
2,4,0
3,4,0
4,4,0
