model,class,precision,recall,f1
multinomial_logistic,1,0.371142981312473,0.569333333333333,0.449355432780847
multinomial_logistic,2,0.307282415630551,0.115333333333333,0.167716917111003
multinomial_logistic,3,0.339920948616601,0.344,0.341948310139165
multinomial_logistic,4,0.328800988875155,0.354666666666667,0.341244387427838
