actual,predicted,N
1,1,760
2,1,540
3,1,393
4,1,279
1,2,170
2,2,204
3,2,131
4,2,112
1,3,318
2,3,465
3,3,613
4,3,523
1,4,252
2,4,291
3,4,363
4,4,586
