model,class,precision,recall,f1
decision_tree,1,0.385395537525355,0.506666666666667,0.43778801843318
decision_tree,2,0.33063209076175,0.136,0.192725555030704
decision_tree,3,0.319437206878583,0.408666666666667,0.35858438139807
decision_tree,4,0.392761394101877,0.390666666666667,0.391711229946524
