threshold,tpr,fpr
Inf,0,0
1,0.00900900900900901,0
1,0.018018018018018,0
1,0.027027027027027,0
1,0.036036036036036,0
1,0.0450450450450451,0
1,0.0540540540540541,0
1,0.0630630630630631,0
1,0.0720720720720721,0
1,0.0810810810810811,0
1,0.0900900900900901,0
1,0.0990990990990991,0
1,0.108108108108108,0
1,0.117117117117117,0
1,0.126126126126126,0
1,0.135135135135135,0
1,0.144144144144144,0
1,0.153153153153153,0
1,0.162162162162162,0
1,0.171171171171171,0
1,0.18018018018018,0
1,0.189189189189189,0
1,0.198198198198198,0
1,0.207207207207207,0
1,0.216216216216216,0
1,0.225225225225225,0
1,0.234234234234234,0
1,0.243243243243243,0
1,0.252252252252252,0
1,0.261261261261261,0
1,0.27027027027027,0
1,0.279279279279279,0
1,0.288288288288288,0
1,0.297297297297297,0
1,0.306306306306306,0
1,0.315315315315315,0
1,0.324324324324324,0
1,0.333333333333333,0
1,0.342342342342342,0
1,0.351351351351351,0
1,0.36036036036036,0
1,0.369369369369369,0
1,0.378378378378378,0
1,0.387387387387387,0
1,0.396396396396396,0
1,0.405405405405405,0
1,0.414414414414414,0
1,0.423423423423423,0
1,0.432432432432432,0
1,0.441441441441441,0
1,0.450450450450451,0
1,0.45945945945946,0
1,0.468468468468469,0
1,0.477477477477478,0
1,0.486486486486487,0
1,0.495495495495496,0
1,0.504504504504505,0
1,0.513513513513514,0
1,0.522522522522523,0
1,0.531531531531532,0
1,0.540540540540541,0
1,0.54954954954955,0
1,0.558558558558559,0
1,0.567567567567568,0
1,0.576576576576577,0
1,0.585585585585586,0
1,0.594594594594595,0
1,0.603603603603604,0
1,0.612612612612613,0
1,0.621621621621622,0
1,0.630630630630631,0
1,0.63963963963964,0
1,0.648648648648649,0
1,0.657657657657658,0
1,0.666666666666667,0
1,0.675675675675676,0
1,0.675675675675676,0.0666666666666667
1,0.684684684684685,0.0666666666666667
1,0.693693693693694,0.0666666666666667
1,0.702702702702703,0.0666666666666667
1,0.711711711711712,0.0666666666666667
1,0.720720720720721,0.0666666666666667
1,0.72972972972973,0.0666666666666667
1,0.738738738738739,0.0666666666666667
1,0.747747747747748,0.0666666666666667
1,0.756756756756757,0.0666666666666667
1,0.765765765765766,0.0666666666666667
1,0.774774774774775,0.0666666666666667
1,0.783783783783784,0.0666666666666667
1,0.792792792792793,0.0666666666666667
1,0.801801801801802,0.0666666666666667
1,0.810810810810811,0.0666666666666667
1,0.81981981981982,0.0666666666666667
1,0.828828828828829,0.0666666666666667
1,0.837837837837838,0.0666666666666667
1,0.846846846846847,0.0666666666666667
1,0.855855855855856,0.0666666666666667
1,0.864864864864865,0.0666666666666667
1,0.873873873873874,0.0666666666666667
1,0.882882882882883,0.0666666666666667
1,0.891891891891892,0.0666666666666667
1,0.900900900900901,0.0666666666666667
1,0.90990990990991,0.0666666666666667
1,0.918918918918919,0.0666666666666667
1,0.927927927927928,0.0666666666666667
1,0.936936936936937,0.0666666666666667
1,0.945945945945946,0.0666666666666667
1,0.954954954954955,0.0666666666666667
1,0.963963963963964,0.0666666666666667
0.00383141762452107,0.963963963963964,0.133333333333333
0.00383141762452107,0.963963963963964,0.2
0.00383141762452107,0.963963963963964,0.266666666666667
0.00383141762452107,0.972972972972973,0.266666666666667
0.00383141762452107,0.972972972972973,0.333333333333333
0.00383141762452107,0.972972972972973,0.4
0.00383141762452107,0.981981981981982,0.4
0.00383141762452107,0.981981981981982,0.466666666666667
0.00383141762452107,0.981981981981982,0.533333333333333
0.00383141762452107,0.990990990990991,0.533333333333333
0.00383141762452107,0.990990990990991,0.6
0.00383141762452107,0.990990990990991,0.666666666666667
0.00383141762452107,0.990990990990991,0.733333333333333
0.00383141762452107,1,0.733333333333333
0.00383141762452107,1,0.8
0.00383141762452107,1,0.866666666666667
0.00383141762452107,1,0.933333333333333
0.00383141762452107,1,1
-Inf,1,1
