Sample,Class,PC1,PC2
TCGA-DD-AAD8-01A,Tumor,-2.23054115858326,-3.99536105267814
TCGA-G3-A7M6-01A,Tumor,1.43793547568758,1.90553585575973
TCGA-2V-A95S-01A,Tumor,-5.66908229445709,2.56095132109919
TCGA-G3-A3CK-01A,Tumor,-1.66842227309864,-3.2484922792827
TCGA-DD-A3A2-01A,Tumor,3.62688270302389,-1.27432841052694
TCGA-G3-A3CH-01A,Tumor,2.2979264595914,0.159031260013749
TCGA-G3-A3CH-11A,Normal,9.50312634640308,0.428645965822723
TCGA-DD-A1EI-01A,Tumor,5.3189009073164,1.61168590028105
TCGA-CC-A5UD-01A,Tumor,-4.2331965323215,4.23844134741159
TCGA-2Y-A9GW-01A,Tumor,-0.954306411843017,0.0107019310066447
TCGA-CC-A7IE-01A,Tumor,-3.74749669017709,3.60283011165225
TCGA-RC-A6M4-01A,Tumor,-1.05329566059763,-2.35591148387789
TCGA-ZS-A9CG-01A,Tumor,0.41622796168783,-1.69078501638382
TCGA-DD-AACL-01A,Tumor,-4.78494647178055,1.32539242639518
TCGA-DD-AADC-01A,Tumor,-2.95285966634988,2.34912056917061
TCGA-BC-A10X-11A,Normal,11.0036499149941,0.299342012479544
TCGA-DD-AAD6-01A,Tumor,-5.6987132972478,-1.14693250981295
TCGA-ZP-A9D1-01A,Tumor,-2.32709971308268,-0.515180029707395
TCGA-DD-A3A9-01A,Tumor,-2.46637830058659,4.03856301655128
TCGA-WQ-A9G7-01A,Tumor,0.744706488740469,2.31827795630651
TCGA-DD-A3A3-11A,Normal,8.86070494786759,0.665744706847978
TCGA-DD-AAW0-01A,Tumor,4.46518282392796,1.34930804675268
TCGA-DD-AAD2-01A,Tumor,1.15945396973121,1.67758639873603
TCGA-BC-A112-01A,Tumor,-3.21463653313038,4.80413024917358
TCGA-2Y-A9GZ-01A,Tumor,-0.118913003097073,-5.58667462502522
TCGA-XR-A8TG-01A,Tumor,-0.946249887748777,-2.02964308984396
TCGA-K7-AAU7-01A,Tumor,0.520865298940057,2.81758152178349
TCGA-G3-A25Y-01A,Tumor,0.569689230658943,4.06760454077354
TCGA-BC-A10S-01A,Tumor,1.78583662456985,-2.48063972525746
TCGA-BC-A216-01A,Tumor,-2.204075483521,-1.73864516134283
TCGA-DD-A11A-11A,Normal,9.25760891347577,0.879810533219754
TCGA-DD-A4NR-01A,Tumor,-2.56611594665471,-0.0962347670740092
TCGA-CC-A7IG-01A,Tumor,-4.11750375157006,2.86553987730024
TCGA-DD-A119-01A,Tumor,0.430952609711779,1.28117443325608
TCGA-BC-A217-01A,Tumor,-2.18193019986554,-2.30501742821534
TCGA-EP-A2KC-01A,Tumor,-0.640277604151991,-1.89622984595732
TCGA-CC-5259-01A,Tumor,-4.47649964109091,-0.320255306161521
TCGA-2Y-A9GY-01A,Tumor,-5.36980579490255,1.07764207005601
TCGA-BC-A3KG-01A,Tumor,-5.43963257721877,-2.16884783747587
TCGA-DD-A118-01A,Tumor,-3.1321539596505,1.68957464332501
TCGA-ES-A2HT-11A,Normal,8.91957836701987,1.22618101118386
TCGA-DD-A4NJ-01A,Tumor,-3.21778143311891,0.185218348497995
TCGA-K7-A6G5-01A,Tumor,2.73602709288626,-0.933290332358671
TCGA-UB-A7MF-01A,Tumor,-4.32077007783202,2.57630057921406
TCGA-DD-AADG-01A,Tumor,0.154447622620069,-3.12806716804044
TCGA-G3-A7M5-01A,Tumor,-0.297283878216635,-5.19307882080133
TCGA-DD-A116-11A,Normal,9.58012423567832,0.286599489838477
TCGA-MI-A75C-01A,Tumor,-2.23018492653145,-1.88120280851924
TCGA-ED-A82E-01A,Tumor,-3.66330568810842,8.98828905266653
TCGA-NI-A4U2-01A,Tumor,1.90157095652014,-3.36379104282308
TCGA-2Y-A9H3-01A,Tumor,-4.14067564085889,1.89373701024777
TCGA-CC-A7II-01A,Tumor,-4.6466254080997,5.94096602030144
TCGA-DD-A3A4-01A,Tumor,-0.848249320445712,-0.0611613439555924
TCGA-G3-AAV6-01A,Tumor,-4.16726502825343,1.67308260605603
TCGA-DD-A3A4-11A,Normal,10.1464309380686,1.24615764118699
TCGA-DD-A113-01A,Tumor,-4.58936328537833,0.265782033594176
TCGA-UB-A7MB-01A,Tumor,-1.50947071173357,-2.08190802857874
TCGA-DD-AAVX-01A,Tumor,-2.37931100735661,-0.000574570652644628
TCGA-DD-A73A-01A,Tumor,-1.51906089806272,-2.89204862984432
TCGA-DD-AADD-01A,Tumor,-5.83652833532528,-1.1857462913036
TCGA-ED-A66X-01A,Tumor,-1.22927684826293,4.6340254447108
